# Last updated: 2026-07-20
# Scope: Doctor Who (2005), Doctor Who (2023), Torchwood, The Sarah Jane Adventures and Class, all holiday/anniversary specials; excludes other specials, minisodes and prequels, the Classic Doctor Who (1963) and the 1996 TV Movie
# Ordered by air date and time per TVmaze
tvdb_episode:78804_1_1  # S01E01 - Rose
tvdb_episode:78804_1_2  # S01E02 - The End of the World
tvdb_episode:78804_1_3  # S01E03 - The Unquiet Dead
tvdb_episode:78804_1_4  # S01E04 - Aliens of London
tvdb_episode:78804_1_5  # S01E05 - World War Three
tvdb_episode:78804_1_6  # S01E06 - Dalek
tvdb_episode:78804_1_7  # S01E07 - The Long Game
tvdb_episode:78804_1_8  # S01E08 - Father's Day
tvdb_episode:78804_1_9  # S01E09 - The Empty Child
tvdb_episode:78804_1_10  # S01E10 - The Doctor Dances
tvdb_episode:78804_1_11  # S01E11 - Boom Town
tvdb_episode:78804_1_12  # S01E12 - Bad Wolf
tvdb_episode:78804_1_13  # S01E13 - The Parting of the Ways
tvdb_episode:78804_0_2  # S00E02 - The Christmas Invasion
tvdb_episode:78804_2_1  # S02E01 - New Earth
tvdb_episode:78804_2_2  # S02E02 - Tooth and Claw
tvdb_episode:78804_2_3  # S02E03 - School Reunion
tvdb_episode:78804_2_4  # S02E04 - The Girl in the Fireplace
tvdb_episode:78804_2_5  # S02E05 - Rise of the Cybermen
tvdb_episode:78804_2_6  # S02E06 - The Age of Steel
tvdb_episode:78804_2_7  # S02E07 - The Idiot's Lantern
tvdb_episode:78804_2_8  # S02E08 - The Impossible Planet
tvdb_episode:78804_2_9  # S02E09 - The Satan Pit
tvdb_episode:78804_2_10  # S02E10 - Love & Monsters
tvdb_episode:78804_2_11  # S02E11 - Fear Her
tvdb_episode:78804_2_12  # S02E12 - Army of Ghosts
tvdb_episode:78804_2_13  # S02E13 - Doomsday
tvdb_episode:79511_1_1  # S01E01 - Everything Changes
tvdb_episode:79511_1_2  # S01E02 - Day One
tvdb_episode:79511_1_3  # S01E03 - Ghost Machine
tvdb_episode:79511_1_4  # S01E04 - Cyberwoman
tvdb_episode:79511_1_5  # S01E05 - Small Worlds
tvdb_episode:79511_1_6  # S01E06 - Countrycide
tvdb_episode:79511_1_7  # S01E07 - Greeks Bearing Gifts
tvdb_episode:79511_1_8  # S01E08 - They Keep Killing Suzie
tvdb_episode:79511_1_9  # S01E09 - Random Shoes
tvdb_episode:79511_1_10  # S01E10 - Out of Time
tvdb_episode:79511_1_11  # S01E11 - Combat
tvdb_episode:78804_0_4  # S00E04 - The Runaway Bride
tvdb_episode:79708_0_1  # S00E01 - Invasion of the Bane
tvdb_episode:79511_1_12  # S01E12 - Captain Jack Harkness
tvdb_episode:79511_1_13  # S01E13 - End of Days
tvdb_episode:78804_3_1  # S03E01 - Smith and Jones
tvdb_episode:78804_3_2  # S03E02 - The Shakespeare Code
tvdb_episode:78804_3_3  # S03E03 - Gridlock
tvdb_episode:78804_3_4  # S03E04 - Daleks in Manhattan
tvdb_episode:78804_3_5  # S03E05 - Evolution of the Daleks
tvdb_episode:78804_3_6  # S03E06 - The Lazarus Experiment
tvdb_episode:78804_3_7  # S03E07 - 42
tvdb_episode:78804_3_8  # S03E08 - Human Nature
tvdb_episode:78804_3_9  # S03E09 - The Family of Blood
tvdb_episode:78804_3_10  # S03E10 - Blink
tvdb_episode:78804_3_11  # S03E11 - Utopia
tvdb_episode:78804_3_12  # S03E12 - The Sound of Drums
tvdb_episode:78804_3_13  # S03E13 - Last of the Time Lords
tvdb_episode:79708_1_1  # S01E01 - REVENGE OF THE SLITHEEN Part One
tvdb_episode:79708_1_2  # S01E02 - REVENGE OF THE SLITHEEN Part Two
tvdb_episode:79708_1_3  # S01E03 - EYE OF THE GORGON Part One
tvdb_episode:79708_1_4  # S01E04 - EYE OF THE GORGON Part Two
tvdb_episode:79708_1_5  # S01E05 - WARRIORS OF KUDLAK Part One
tvdb_episode:79708_1_6  # S01E06 - WARRIORS OF KUDLAK Part Two
tvdb_episode:79708_1_7  # S01E07 - WHATEVER HAPPENED TO SARAH JANE? Part One
tvdb_episode:79708_1_8  # S01E08 - WHATEVER HAPPENED TO SARAH JANE? Part Two
tvdb_episode:79708_1_9  # S01E09 - THE LOST BOY Part One
tvdb_episode:79708_1_10  # S01E10 - THE LOST BOY Part Two
tvdb_episode:78804_0_7  # S00E07 - Voyage of the Damned
tvdb_episode:79511_2_1  # S02E01 - Kiss Kiss, Bang Bang
tvdb_episode:79511_2_2  # S02E02 - Sleeper
tvdb_episode:79511_2_3  # S02E03 - To the Last Man
tvdb_episode:79511_2_4  # S02E04 - Meat
tvdb_episode:79511_2_5  # S02E05 - Adam
tvdb_episode:79511_2_6  # S02E06 - Reset
tvdb_episode:79511_2_7  # S02E07 - Dead Man Walking
tvdb_episode:79511_2_8  # S02E08 - A Day in the Death
tvdb_episode:79511_2_9  # S02E09 - Something Borrowed
tvdb_episode:79511_2_10  # S02E10 - From Out of the Rain
tvdb_episode:79511_2_11  # S02E11 - Adrift
tvdb_episode:79511_2_12  # S02E12 - Fragments
tvdb_episode:79511_2_13  # S02E13 - Exit Wounds
tvdb_episode:78804_4_1  # S04E01 - Partners in Crime
tvdb_episode:78804_4_2  # S04E02 - The Fires of Pompeii
tvdb_episode:78804_4_3  # S04E03 - Planet of the Ood
tvdb_episode:78804_4_4  # S04E04 - The Sontaran Stratagem
tvdb_episode:78804_4_5  # S04E05 - The Poison Sky
tvdb_episode:78804_4_6  # S04E06 - The Doctor's Daughter
tvdb_episode:78804_4_7  # S04E07 - The Unicorn and the Wasp
tvdb_episode:78804_4_8  # S04E08 - Silence in the Library
tvdb_episode:78804_4_9  # S04E09 - Forest of the Dead
tvdb_episode:78804_4_10  # S04E10 - Midnight
tvdb_episode:78804_4_11  # S04E11 - Turn Left
tvdb_episode:78804_4_12  # S04E12 - The Stolen Earth
tvdb_episode:78804_4_13  # S04E13 - Journey's End
tvdb_episode:79708_2_1  # S02E01 - THE LAST SONTARAN Part One
tvdb_episode:79708_2_2  # S02E02 - THE LAST SONTARAN Part Two
tvdb_episode:79708_2_3  # S02E03 - THE DAY OF THE CLOWN Part One
tvdb_episode:79708_2_4  # S02E04 - THE DAY OF THE CLOWN Part Two
tvdb_episode:79708_2_5  # S02E05 - SECRETS OF THE STARS Part One
tvdb_episode:79708_2_6  # S02E06 - SECRETS OF THE STARS Part Two
tvdb_episode:79708_2_7  # S02E07 - THE MARK OF THE BERSERKER Part One
tvdb_episode:79708_2_8  # S02E08 - THE MASK OF THE BERSERKER Part Two
tvdb_episode:79708_2_9  # S02E09 - THE TEMPTATION OF SARAH JANE SMITH Part One
tvdb_episode:79708_2_10  # S02E10 - THE TEMPTATION OF SARAH JANE SMITH Part Two
tvdb_episode:79708_2_11  # S02E11 - ENEMY OF THE BANE Part One
tvdb_episode:79708_2_12  # S02E12 - ENEMY OF THE BANE Part Two
tvdb_episode:78804_0_9  # S00E09 - The Next Doctor
tvdb_episode:78804_0_13  # S00E13 - Planet of the Dead
tvdb_episode:79511_3_1  # S03E01 - Day One
tvdb_episode:79511_3_2  # S03E02 - Day Two
tvdb_episode:79511_3_3  # S03E03 - Day Three
tvdb_episode:79511_3_4  # S03E04 - Day Four
tvdb_episode:79511_3_5  # S03E05 - Day Five
tvdb_episode:79708_3_1  # S03E01 - PRISONER OF THE JUDOON Part One
tvdb_episode:79708_3_2  # S03E02 - PRISONER OF THE JUDOON Part Two
tvdb_episode:79708_3_3  # S03E03 - THE MAD WOMAN IN THE ATTIC Part One
